"d8e2c8ee-bff9-409e-834d-32b210014d37","138685","","Rhamphocharis","crassirostris","piperata","145.1983333333","-5.7625","2016-04-11"
"e60beeb0-9eac-4a9a-8205-2f0095df25ec","138686","","Rhamphocharis","crassirostris","piperata","145.1983333333","-5.7625","2016-04-11"
"f72bb743-1670-4fcc-baee-870de22fdb85","138687","","Oedistoma","iliolophus","iliolophus","145.2713888889","-5.7216666667","2016-04-12"
"ddbef284-7b12-4147-ac86-3e16d24c1c8b","138688","","Oedistoma","iliolophus","iliolophus","145.2713888889","-5.7216666667","2016-04-12"
"f5a93f1b-4904-4a57-be83-90e63f452128","138689","","Toxorhamphus","poliopterus","poliopterus","145.1983333333","-5.7625","2016-04-11"
"e874c0fd-73df-4886-97ab-7636a7602902","138690","","Toxorhamphus","poliopterus","poliopterus","145.1983333333","-5.7625","2016-04-11"
"8de18dca-34cb-433d-8146-02ec9c99e3c9","138691","","Toxorhamphus","poliopterus","poliopterus","145.1983333333","-5.7625","2016-04-12"
"fd22e431-8839-45a3-abfb-f9bbf4a43e53","138692","","Toxorhamphus","novaeguineae","novaeguineae","145.3336111111","-5.7425","2016-04-12"
"f8129857-8169-4e85-ad59-b951be83628c","138693","","Toxorhamphus","novaeguineae","novaeguineae","145.7719444444","-5.1452777778","2016-04-12"
"0adc63cb-7a50-4208-b81f-2ce3c635bee5","138694","","Toxorhamphus","novaeguineae","novaeguineae","145.7719444444","-5.1452777778","2016-04-12"
"a6b14829-8b15-45d8-a186-226c505f2495","138695","","Toxorhamphus","novaeguineae","novaeguineae","145.3336111111","-5.7425","2016-04-12"
"f476c305-1de7-480f-b697-92a36cf597c5","138696","","Melanocharis","striativentris","striativentris","145.1983333333","-5.7625","2016-04-12"
"5a93c782-9c01-454c-ba7a-2045ec11f894","138697","","Melanocharis","striativentris","striativentris","145.1983333333","-5.7625","2016-04-12"
"125c81c6-a14e-4db0-bb80-6e39a01b1c76","138698","","Melanocharis","striativentris","striativentris","145.1983333333","-5.7625","2016-04-11"
"11eadfc0-be40-41ed-9429-630878abaabd","138699","","Melanocharis","striativentris","striativentris","145.1983333333","-5.7625","2016-04-12"
"f8399eaf-0708-4e49-9089-ddb3fc6474ce","138700","","Melanocharis","versteri","virago","145.1505555556","-5.8158333333","2016-04-11"
